SubAgency,Description,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,State,VehicleType,Year,Make,Model,Color,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Speeding,Violation Type
"4th District, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.059409,-77.07305,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,OLDS,4S,SILVER,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.110738,-77.075847,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,CAMRY,BLUE,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.0447,-77.1098,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1989.0,TOYOTA,LE,GRAY,Transportation Article,False,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,39.217317,-77.05451,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,SUBARU,4DR,GREEN,Transportation Article,False,WHITE,M,WESTMINSTER,MD,MD,O - Foot Patrol,Measured,Citation
"2nd District, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.046495,-77.119743,No,No,No,No,No,No,No,No,No,Yes,MD,03 - Station Wagon,2005.0,SUBA,OUTBACK,SILVER,Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.019048,-77.013982,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HOND,TK,SILVER,Transportation Article,False,WHITE,M,LAUREL,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.023045,-77.068837,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYT,RAV 4,"BLUE, DARK",Transportation Article,False,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,39.070515,-77.062862,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,TOYOTA,HIGHLANDER,SILVER,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,Q - Marked Laser,Yes,Warning
"4th District, Wheaton",EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,39.06122,-77.052958,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,AUDI,SU,WHITE,Transportation Article,False,BLACK,F,WHEATON,MD,MD,O - Foot Patrol,Yes,Warning
"2nd District, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.028232,-77.144265,No,No,Yes,No,No,No,No,No,No,No,MD,28 - Other,2001.0,FORD,E250,WHITE,Transportation Article,False,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.234155,-77.243977,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,KIA,TK,WHITE,Transportation Article,False,WHITE,M,CLARKSBURG,MD,MD,B - Unmarked Patrol,No,Citation
"3rd District, Silver Spring",PARKING VEH. WHERE PROHIBITED BY OFFICIAL SIGN,39.152839,-77.155579,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYOTA,TACOMA,BLACK,Transportation Article,False,OTHER,U,XX,XX,XX,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.078227,-76.937998,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,VW,BUG,"BLUE, LIGHT",Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,39.051658,-77.089562,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2016.0,CHEVROLET,CRUZE,RED,Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,0.0,0.0,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,1995.0,CHEVROLET,CAPRICE,BLACK,Transportation Article,False,BLACK,F,COLUMBIA,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,38.996868,-77.094565,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,ACURA,TL,GRAY,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.18146,-77.276052,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2017.0,HYUN,TK,WHITE,Transportation Article,False,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton","PERSON DRIVING, MOVING ON HWY. VEH. WITH VISIBLE BLUE LAMP",39.037259,-77.050502,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,CHEVY,TAHOE,BRONZE,Transportation Article,False,HISPANIC,M,BALTIMORE,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",OPER. MOTOR VEH. WITH  OCCUPANT UNDER 16  NOT RESTRAINED BY SEAT BELT,39.071133,-77.099717,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,SCION,2H,RED,Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,38.991427,-77.02655,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUNDAI,ELANTRA,GRAY,Transportation Article,False,BLACK,M,SILVER SPRING,MD,DC,A - Marked Patrol,No,Citation
"5th District, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,39.173267,-77.283988,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYT,TK,WHITE,Transportation Article,False,HISPANIC,M,FREDERICK,MD,MD,A - Marked Patrol,Yes,Warning
"1st District, Rockville",DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,39.034797,-77.143483,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,CHEVY,4S,BLACK,Transportation Article,False,WHITE,F,CLARKSBURG,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,39.01528,-76.977568,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,BMW,4S,BLACK,Transportation Article,False,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYT,4H,SILVER,Transportation Article,False,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.043803,-77.055652,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,INFINITY,G37,BLACK,Transportation Article,False,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,39.045225,-76.981342,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,NISSAN,ALTIMA,GREEN,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,39.108125,-76.931302,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,CIVIC,SILVER,Transportation Article,False,BLACK,F,COLUMBIA,MD,MD,Q - Marked Laser,Yes,Warning
Headquarters and Special Operations,FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,39.046643,-77.14981,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,NISSAN,MURANO,WHITE,Transportation Article,False,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",KNOWINGLY DRIVING UNINSURED VEHICLE,39.060132,-76.968227,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2020.0,DODGE,CHARGE,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYOT,TACOMA,RED,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,39.043447,-77.110922,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,MAZDA,PROTOGE,SILVER,Transportation Article,False,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,39.29386,-77.199475,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,PONTIAC,4DR,BLUE,Transportation Article,False,WHITE,M,MONROVIA,MD,MD,Q - Marked Laser,Measured,Citation
"1st District, Rockville",DRIVING WHILE IMPAIRED BY ALCOHOL,39.113192,-77.235992,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,2017.0,FORD,EXPLORER,WHITE,Transportation Article,False,WHITE,M,POOLESVILLE,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",IMPROPER PASSING OF OVERTAKEN VEHICLE,39.035163,-77.10689,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,FORD,FOCUS,MAROON,Transportation Article,True,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",HOLDER OF LEARNERS PERMIT DRIVING W/O REQ. SUPERVISION,39.13938,-77.06816,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,SCION,TC,SILVER,Transportation Article,False,BLACK,M,OLNEY,MD,MD,Q - Marked Laser,No,Warning
"3rd District, Silver Spring",FAILURE TO DRIVE RIGHT OF CENTER,39.046183,-76.990613,Yes,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,1999.0,TOYOTA,COROLLA,SILVER,Transportation Article,True,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.04925,-77.05199,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,NISSAN,ALTIMA,SILVER,Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,39.2858,-77.195198,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2001.0,CHEV,SOLVERADO,SILVER,Transportation Article,False,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown","DRIVER OF EMERGENCY VEH. USING FLASHING LIGHTS, BELL,RETURNING FROM CALL",39.17342,-77.275113,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,GMC,ENVOY,BLUE,Transportation Article,False,WHITE,M,DAMASCUS,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,39.17442,-77.151605,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,KIA,SORENTO,BLACK,Transportation Article,False,WHITE,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,39.015748,-77.04145,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,1999.0,TOYT,TK,BLACK,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,No,Warning
"2nd District, Bethesda",LEFT TURN FROM IMPROPER ROAD POSITION,38.986503,-77.096447,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,MERZ,ML350,BLACK,Transportation Article,False,BLACK,M,BETHESDA,MD,MD,A - Marked Patrol,No,Citation
Headquarters and Special Operations,OPERATOR NOT RESTRAINED BY SEATBELT,39.006583,-77.075523,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,4S,SILVER,Transportation Article,False,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.184212,-77.267212,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,LINCOLN,ZEPHYR,WHITE,Transportation Article,False,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,39.022597,-77.10327,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,PORSCHE,CAYENNE,SILVER,Transportation Article,False,WHITE,M,CHEVY CHASE,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,39.040562,-77.052788,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994.0,HONDA,CIVIC,GREEN,Transportation Article,False,HISPANIC,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Warning
"5th District, Germantown",PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,39.181903,-77.265342,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997.0,FORD,TK,BLUE,Transportation Article,False,WHITE,M,BEL AIR,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,38.998482,-77.021383,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,RAV4,SILVER,Transportation Article,False,BLACK,M,ADELPHI,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.084498,-77.173133,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,HOND,HY,SILVER,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,39.198128,-77.249708,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,CAMRY,RED,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,39.036265,-77.052433,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,HIGHLANDER,SILVER,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,L - Motorcycle,No,Warning
Headquarters and Special Operations,DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,39.092517,-77.011998,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2003.0,GMC,TK,WHITE,Maryland Rules,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,0.0,0.0,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,1999.0,TOYT,AVALON,SILVER,Transportation Article,False,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
