SubAgency,Description,Latitude,Longitude,Accident,Belts,"Personal Injury","Property Damage",Fatal,"Commercial License","Commercial Vehicle",Alcohol,"Work Zone","Search Conducted",State,VehicleType,Year,Make,Model,Color,Article,"Contributed To Accident",Race,Gender,"Driver City","Driver State","DL State","Arrest Type","Violation Type"
"4th District, Wheaton","UNSAFE BACKING OF MOTOR VEH.",0,0,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",1991,TOYOTA,VN,SILVER,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE",38.98806,-77.077843,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,CHEV,IMPALA,GRAY,"Transportation Article",False,BLACK,M,"MONTGOMERY VILLAGE",MD,MD,"Q - Marked Laser",Citation
"6th District, Gaithersburg / Montgomery Village","VEH. FAILURE TO DISPLAY & REFLECT AMBER COLOR LIGHT ON LAMPS & REFLECTORS AS REQ.",39.146935,-77.185033,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1998,BUIC,4S,GREEN,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.204608,-77.21391,No,No,No,No,No,No,No,No,No,No,TX,"02 - Automobile",2004,DODGE,INTREPID,WHITE,"Transportation Article",False,BLACK,M,KATY,TX,TX,"A - Marked Patrol",Citation
"4th District, Wheaton","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE",39.052444,-77.075836,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,JEEP,LIBERTY,BROWN,"Transportation Article",False,BLACK,F,"MOUNT AIRY",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING, MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.005553,-76.984865,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,CHRY,TOWN&COUNTRY,BLACK,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,XX,"A - Marked Patrol",Citation
"4th District, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",39.113318,-77.071483,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2000,DODGE,VN,RED,"Transportation Article",False,WHITE,M,BALTIMORE,MD,MD,"A - Marked Patrol",Citation
"Headquarters and Special Operations","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS",39.221672,-77.38283,No,No,No,No,No,No,No,No,No,No,GA,"02 - Automobile",2013,LINC,MS,BLACK,"Transportation Article",False,BLACK,M,ROSEDALE,MD,MD,"G - Marked Moving Radar (Stationary)",Citation
"4th District, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.041885,-77.058667,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2017,FORD,ESCAPE,BLACK,"Transportation Article",False,HISPANIC,M,ADELPHI,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","FAILURE OF VEH. DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH. OF DAMAGE",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,MITSUBISHI,GALANT,BLACK,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING WHILE IMPAIRED BY ALCOHOL",39.144443,-77.233158,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2005,FORD,MUSTANG,YELLOW,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.153872,-77.213205,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2008,NISSAN,TITAN,MAROON,"Transportation Article",False,WHITE,M,ROCKVILLE,MD,MD,"S - License Plate Recognition",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING A MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.15416,-77.210345,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",1998,CHEV,VN,WHITE,"Transportation Article",False,OTHER,M,GAITHERSBURG,MD,MD,"S - License Plate Recognition",Citation
"5th District, Germantown","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING",39.198497,-77.262082,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2006,CHRYSLER,PACIFICA,GOLD,"Transportation Article",False,WHITE,M,ARLINGTON,VA,VA,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVING VEH. WHILE WEARING EARPHONES",39.196657,-77.255133,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,DODG,CHARGER,BLACK,"Transportation Article",False,BLACK,F,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE",39.070929,-77.012842,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,TOYT,4S,GRAY,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"Q - Marked Laser",Citation
"4th District, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.014281,-77.031097,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,FORD,EXPEDITION,SILVER,"Transportation Article",False,BLACK,M,WHEATON,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION",39.015657,-77.04251,No,No,No,No,No,No,No,No,No,No,DC,"02 - Automobile",2011,TOYOTA,"RAV 4",BLACK,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,DC,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.288933,-77.206078,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,KIA,VN,BLACK,"Transportation Article",False,WHITE,F,CLARKSBURG,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.288937,-77.202002,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2015,HONDA,4S,GRAY,"Transportation Article",False,WHITE,M,DAMASCUS,MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL",0,0,No,No,No,No,No,No,No,No,No,No,MD,"06 - Heavy Duty Truck",2018,FRHT,ST,PURPLE,"Transportation Article",False,WHITE,M,SEVERN,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,FORD,F150,WHITE,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT",39.007443,-77.079958,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,CHEVY,SUBURBAN,BLACK,"Transportation Article",False,HISPANIC,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","PARKING WHERE PROHIBITED BY OFFICIAL SIGNS",38.99687,-77.0003,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,ACURA,TSX,BLACK,"Transportation Article",False,HISPANIC,M,"TAKOMA PARK",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","EXCEEDING MAXIMUM SPEED: 47 MPH IN A POSTED 25 MPH ZONE",38.988228,-77.100285,No,No,No,No,No,No,No,No,No,No,MD,"28 - Other",2012,ACURA,SUV,SILVER,"Transportation Article",False,ASIAN,F,ROCKVILLE,MD,MD,"Q - Marked Laser",Citation
"1st District, Rockville","EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,INFINTI,2DR,SILVER,"Transportation Article",False,BLACK,M,GERMANTOWN,MD,MD,"Q - Marked Laser",Citation
"2nd District, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",38.981717,-77.092622,No,No,No,No,No,No,No,No,No,No,XX,"29 - Unknown",2008.503757,NONE,NONE,BLACK,"Transportation Article",False,BLACK,M,BETEHSDA,MD,XX,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.111226,-77.085192,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",2003,HYUNDAI,"SANTA FE",SILVER,"Transportation Article",False,HISPANIC,F,"MONTGOMERY VILLAGE",MD,MD,"S - License Plate Recognition",Citation
"4th District, Wheaton","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY",39.14918,-77.058244,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2008,NISSAN,ALTIMA,SILVER,"Transportation Article",False,BLACK,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE",38.997127,-77.16968,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,TOYOTA,CAMRY,SILVER,"Transportation Article",False,BLACK,F,FRIDLEY,MN,MN,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 65",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,CHEVY,IMPALA,RED,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.001698,-77.026113,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2006,TOYT,TK,SILVER,"Transportation Article",False,HISPANIC,M,LAUREL,MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","FAILURE TO STOP, PARK VEH. WITHIN 12 INCHES OF RIGHT CURB",0,0,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2007,LEX,IS250,GRAY,"Transportation Article",False,ASIAN,M,ASHBURN,VA,VA,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE",39.166347,-77.259301,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,HOND,SW,BLUE,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MI,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.047725,-77.068503,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1997,HONDA,CIVIC,WHITE,"Transportation Article",False,HISPANIC,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","FALSIFYING/ATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENT/PLATE ISSUED BY AD.",39.145472,-77.173748,No,Yes,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,HONDA,ACCORD,BLACK,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY",38.997333,-77.009408,No,No,No,No,No,No,No,No,No,No,MD,"19 - Moped",2016,TAOTAO,50,BLACK,"Transportation Article",False,BLACK,F,WASHINGTON,DC,DC,"A - Marked Patrol",Citation
"4th District, Wheaton","FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION",39.052822,-77.051335,Yes,Yes,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,HYUNDAI,ACCENT,"BLUE, LIGHT","Transportation Article",True,WHITE,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.113125,-77.270525,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,NISS,"ROGUE SUV",GRAY,"Transportation Article",False,WHITE,F,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.17065,-77.277743,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2011,MERZ,4S,SILVER,"Transportation Article",False,OTHER,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION",38.987017,-77.07696,No,No,Yes,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,ACURA,MDX,GRAY,"Transportation Article",False,BLACK,F,DAMASCUS,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.036263,-77.028841,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2021,HONDA,CIVIC,BLUE,"Transportation Article",False,HISPANIC,F,WASHINGTON,DC,XX,"A - Marked Patrol",Citation
"3rd District, Silver Spring","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,NISS,350Z,SILVER,"Transportation Article",False,WHITE,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS",39.061038,-77.069792,No,No,No,No,No,No,No,No,No,No,PA,"02 - Automobile",2005,HONDA,ACCORD,SILVER,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","FAILURE OF VEH. DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION",39.083468,-77.152155,No,No,Yes,No,No,No,No,No,No,No,MD,"02 - Automobile",1996,TOYOTA,AVALON,WHITE,"Transportation Article",False,HISPANIC,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING VEH. ON HWY WITH LAMP IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR",39.046467,-76.990222,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,FORD,F350,BLACK,"Transportation Article",False,WHITE,M,"TAKOMA PARK",MD,MD,"A - Marked Patrol",Citation
"Headquarters and Special Operations","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",39.064265,-76.96139,No,No,No,No,No,No,No,No,No,No,DC,"02 - Automobile",2006,CHRYSLER,300,BLACK,"Transportation Article",False,BLACK,M,WASHINGTON,DC,DC,"B - Unmarked Patrol",Citation
"5th District, Germantown","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,LEXUS,"IS 250",BLACK,"Transportation Article",False,OTHER,F,BOYDS,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.076684,-76.957562,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,VOLKS,4DR,GREEN,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVING MOTOR VEH WHILE LIC. SUSPENDED IN OTHER STATE FOR FAILURE TO PAY FINE",39.103675,-77.180928,No,No,No,No,No,No,No,No,No,No,FL,"05 - Light Duty Truck",2001,TOYOTA,SIENNA,SILVER,"Transportation Article",False,WHITE,F,GERMANTOWN,MA,FL,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2011,LEXUS,IS250,BLACK,"Transportation Article",False,BLACK,M,WASHINGTON,DC,DC,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.103856,-77.076447,Yes,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,BUIC,4S,SILVER,"Transportation Article",True,WHITE,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION",39.146796,-77.050287,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,DODG,"GRAND CARAN",SILVER,"Transportation Article",False,BLACK,M,ASHTON,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.149727,-77.233898,No,No,No,No,No,No,No,No,No,No,MD,"28 - Other",1999,FORD,E-350,WHITE,"Transportation Article",False,HISPANIC,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL",38.999598,-76.993615,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,HONDA,CIVIC,GRAY,"Transportation Article",False,BLACK,M,"BERWYN HEIGHTS",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR",39.154569,-77.069952,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,MERCEDEZ,C280,SILVER,"Transportation Article",False,WHITE,F,OLNEY,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.153928,-77.209914,No,No,No,No,No,No,No,No,No,No,DC,"02 - Automobile",2017,VOLKSWAGON,PASSAT,BLACK,"Transportation Article",False,BLACK,M,WASHINGTON,DC,DC,"A - Marked Patrol",Citation
"1st District, Rockville","KNOWINGLY DRIVING UNINSURED VEHICLE",39.104762,-77.157357,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2011,FORD,FOCUS,SILVER,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.124018,-77.175648,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2014,TOYT,TK,BLACK,"Transportation Article",False,HISPANIC,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","POSSESSING SUSPENDED LIC.",39.179593,-77.23897,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,VOLK,4S,TAN,"Transportation Article",False,BLACK,M,GERMANTOWN,MD,MD,"Q - Marked Laser",Citation
